EAR,MAR,TIME
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.23424360428193358,0.19621165057908915,12:31:35.474845
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.23424360428193358,0.19621165057908915,12:31:35.474845
0.23641218380010712,0.1414213562373095,12:31:35.626704
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.23424360428193358,0.19621165057908915,12:31:35.474845
0.23641218380010712,0.1414213562373095,12:31:35.626704
0.2780715552868576,0.15500938466242947,12:31:35.783345
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.23424360428193358,0.19621165057908915,12:31:35.474845
0.23641218380010712,0.1414213562373095,12:31:35.626704
0.2780715552868576,0.15500938466242947,12:31:35.783345
0.27200503484493727,0.19621165057908915,12:31:35.933397
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.23424360428193358,0.19621165057908915,12:31:35.474845
0.23641218380010712,0.1414213562373095,12:31:35.626704
0.2780715552868576,0.15500938466242947,12:31:35.783345
0.27200503484493727,0.19621165057908915,12:31:35.933397
0.27880017874280916,0.18834271799576283,12:31:36.078657
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.23424360428193358,0.19621165057908915,12:31:35.474845
0.23641218380010712,0.1414213562373095,12:31:35.626704
0.2780715552868576,0.15500938466242947,12:31:35.783345
0.27200503484493727,0.19621165057908915,12:31:35.933397
0.27880017874280916,0.18834271799576283,12:31:36.078657
0.29027629696005436,0.8023689270621824,12:31:36.225634
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.23424360428193358,0.19621165057908915,12:31:35.474845
0.23641218380010712,0.1414213562373095,12:31:35.626704
0.2780715552868576,0.15500938466242947,12:31:35.783345
0.27200503484493727,0.19621165057908915,12:31:35.933397
0.27880017874280916,0.18834271799576283,12:31:36.078657
0.29027629696005436,0.8023689270621824,12:31:36.225634
0.3036183696835264,0.160947570824873,12:31:36.372684
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.23424360428193358,0.19621165057908915,12:31:35.474845
0.23641218380010712,0.1414213562373095,12:31:35.626704
0.2780715552868576,0.15500938466242947,12:31:35.783345
0.27200503484493727,0.19621165057908915,12:31:35.933397
0.27880017874280916,0.18834271799576283,12:31:36.078657
0.29027629696005436,0.8023689270621824,12:31:36.225634
0.3036183696835264,0.160947570824873,12:31:36.372684
0.26817240182904856,0.06666666666666667,12:31:36.520040
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.23424360428193358,0.19621165057908915,12:31:35.474845
0.23641218380010712,0.1414213562373095,12:31:35.626704
0.2780715552868576,0.15500938466242947,12:31:35.783345
0.27200503484493727,0.19621165057908915,12:31:35.933397
0.27880017874280916,0.18834271799576283,12:31:36.078657
0.29027629696005436,0.8023689270621824,12:31:36.225634
0.3036183696835264,0.160947570824873,12:31:36.372684
0.26817240182904856,0.06666666666666667,12:31:36.520040
0.27319248491435577,0.06666666666666667,12:31:36.673090
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.23424360428193358,0.19621165057908915,12:31:35.474845
0.23641218380010712,0.1414213562373095,12:31:35.626704
0.2780715552868576,0.15500938466242947,12:31:35.783345
0.27200503484493727,0.19621165057908915,12:31:35.933397
0.27880017874280916,0.18834271799576283,12:31:36.078657
0.29027629696005436,0.8023689270621824,12:31:36.225634
0.3036183696835264,0.160947570824873,12:31:36.372684
0.26817240182904856,0.06666666666666667,12:31:36.520040
0.27319248491435577,0.06666666666666667,12:31:36.673090
0.29149073083019206,0.0804737854124365,12:31:36.826023
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.23424360428193358,0.19621165057908915,12:31:35.474845
0.23641218380010712,0.1414213562373095,12:31:35.626704
0.2780715552868576,0.15500938466242947,12:31:35.783345
0.27200503484493727,0.19621165057908915,12:31:35.933397
0.27880017874280916,0.18834271799576283,12:31:36.078657
0.29027629696005436,0.8023689270621824,12:31:36.225634
0.3036183696835264,0.160947570824873,12:31:36.372684
0.26817240182904856,0.06666666666666667,12:31:36.520040
0.27319248491435577,0.06666666666666667,12:31:36.673090
0.29149073083019206,0.0804737854124365,12:31:36.826023
0.2867346562402163,0.03333333333333333,12:31:36.973929
0.21432313101767272,0.20786893258332634,12:31:35.109441
0.2037992078313645,0.223606797749979,12:31:35.315018
0.23424360428193358,0.19621165057908915,12:31:35.474845
0.23641218380010712,0.1414213562373095,12:31:35.626704
0.2780715552868576,0.15500938466242947,12:31:35.783345
0.27200503484493727,0.19621165057908915,12:31:35.933397
0.27880017874280916,0.18834271799576283,12:31:36.078657
0.29027629696005436,0.8023689270621824,12:31:36.225634
0.3036183696835264,0.160947570824873,12:31:36.372684
0.26817240182904856,0.06666666666666667,12:31:36.520040
0.27319248491435577,0.06666666666666667,12:31:36.673090
